Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  90    155.34      2.45      2      2     173.30      17.96      175.75      20.41
  91    160.67      1.29      1      1     173.58      12.91      174.87      14.20
  92    160.78      11.36      1      1     174.87      14.09      186.23      25.46
  95    167.20      1.39      2      2     175.75      8.55      177.14      9.94
  97    170.00      2.39      2      2     177.14      7.14      179.53      9.52
  85    149.71      2.71      0      0     178.71      29.01      181.43      31.72
  100    173.54      7.66      2      2     179.53      5.98      187.19      13.65
  93    163.86      19.51      0      0     181.43      17.57      200.93      37.07
  94    166.42      5.65      1      1     186.23      19.82      191.89      25.47
  104    175.88      9.00      2      2     187.19      11.31      196.19      20.31
  101    174.39      3.19      1      1     191.89      17.49      195.08      20.69
  103    175.69      4.03      1      1     195.08      19.39      199.11      23.42
  105    179.36      5.52      2      2     196.19      16.83      201.71      22.35
  108    187.00      1.32      1      1     199.11      12.11      200.43      13.43
  111    193.22      6.36      1      1     200.43      7.21      206.79      13.57
  96    169.51      4.12      0      0     200.93      31.43      205.06      35.55
  107    184.66      14.71      2      2     201.71      17.05      216.42      31.76
  98    170.72      15.34      0      0     205.06      34.34      220.40      49.68
  113    208.42      9.00      -1      1     208.42      0.00      217.42      9.00
  109    188.59      2.09      2      2     216.42      27.84      218.51      29.92
  114    209.52      26.31      1      1     217.42      7.90      243.73      34.21
  116    211.12      6.87      2      2     218.51      7.39      225.38      14.26
  106    181.72      1.17      0      0     220.40      38.69      221.57      39.86
  110    190.43      19.49      0      0     221.57      31.14      241.07      50.63
  119    214.41      10.71      2      2     225.38      10.97      236.09      21.68
